report_date,report_name,investment_target,investment_amount_krw,equity_ratio_pct,board_resolution_date,start_date,end_date,related_disclosure,source_rcpno
2021-02-24,유형자산취득결정,EUV Scanner 장비 구매(ASML, 5년 분할취득),4754922640000,7.34(자산총액대비),2021-02-24,2021-02-24,2025-12-01,,20210224800978
2024-04-24,신규시설투자등,청주 M15X 건설,5296200000000,9.90,2024-04-24,2024-04-24,2026-10-30,2022-09-06 장래사업ㆍ경영계획(공정공시),20240424800596
2024-07-26,신규시설투자등,용인 반도체 클러스터 내 신규 Fab 건설,9411500000000,17.59,2024-07-26,2024-08-01,2028-12-31,,20240726800615
2026-02-25,신규시설투자등,용인 반도체 클러스터 1기 Fab Phase2~6 건설,21608100000000,29.23,2026-02-25,2026-03-01,2030-12-31,,20260225801974
2026-07-22,신규시설투자등(증액),청주 P&T7 건설,7093100000000,5.88,2026-07-22,2025-11-26,2032-12-31,,20260722800829
