company,fiscal_year,basis,total_assets_mkrw,source
skhynix,2023,consolidated,100330165,sk하이닉스 제78기 사업보고서 요약연결재무정보 비교표
skhynix,2023,separate,92949387,sk하이닉스 제78기 사업보고서 요약별도재무정보 비교표
skhynix,2024,consolidated,119855209,sk하이닉스 제78기 사업보고서 요약연결재무정보 비교표
skhynix,2024,separate,112412580,sk하이닉스 제78기 사업보고서 요약별도재무정보 비교표
skhynix,2025,consolidated,176107659,sk하이닉스 제78기 사업보고서 요약연결재무정보
samsung,2023,consolidated,455905980,samsung 연결감사보고서 제56기/제55기 비교표
samsung,2024,consolidated,514531948,samsung 연결감사보고서 제57기/제56기 비교표
samsung,2025,consolidated,566942110,samsung 연결감사보고서 제57기 당기 연결재무상태표
