cgu,fiscal_year,goodwill_balance_mkrw,impairment_loss_mkrw,note,source
기존CGU,2022,798723,0,회수가능액(주가기반 공정가치)이 장부금액 초과,skhynix 연결감사보고서 제76기(FY2023)/제75기(FY2022) 비교표
SolidigmCGU,2022,0,0,Solidigm CGU에 배분된 영업권 없음(0),skhynix 연결감사보고서 제76기(FY2023)/제75기(FY2022) 비교표
기존CGU,2023,803348,0,회수가능액(주가기반 공정가치)이 장부금액 초과,skhynix 연결감사보고서 제76기(FY2023) 당기
SolidigmCGU,2023,0,0,Solidigm CGU에 배분된 영업권 없음(0). 별도재무제표에서는 Solidigm 관련 종속기업투자주식 3234498백만원+대여금 8805313백만원의 회수가능액 검토가 KAM으로 별도 수행되었으며 손상 인식 없음,skhynix 별도/연결감사보고서 제76기(FY2023)
기존CGU,2024,848328,0,회수가능액(주가기반 공정가치)이 장부금액 초과,skhynix 연결감사보고서 제77기(FY2024) 당기
